name,male,frequency_score
貴文,0.955,0.77
じゅんこ,0.0,0.717
新一,0.88,0.777
美玲,0.011,0.803
智明,0.965,0.795
武彦,1.0,0.736
泰弘,1.0,0.741
正史,1.0,0.736
光弘,1.0,0.729
麻由,0.0,0.75
浩志,1.0,0.741
加代子,0.0,0.729
暁子,0.0,0.711
中川,0.818,0.735
孝行,1.0,0.735
勇斗,1.0,0.71
順平,0.846,0.773
隆介,1.0,0.72
有加,0.1,0.728
梨紗,0.0,0.71
桃香,0.0,0.751
ミキ,0.091,0.734
利夫,0.9,0.727
すみれ,0.0,0.787
聡一郎,1.0,0.709
飛鳥,0.667,0.739
裕希,0.875,0.719
真知子,0.0,0.718
亜由美,0.071,0.747
ゆみこ,0.0,0.733
直行,1.0,0.718
哲哉,1.0,0.743
朱音,0.0,0.718
瑞生,0.781,0.776
留美子,0.0,0.708
菜央,0.0,0.718
和恵,0.0,0.718
孝司,1.0,0.717
マサヒロ,1.0,0.717
齋藤,0.556,0.717
文彦,0.812,0.754
智裕,0.846,0.741
牧子,0.0,0.731
真依,0.0,0.736
結衣,0.048,0.761
ケンジ,1.0,0.744
寛太,1.0,0.705
大野,0.556,0.715
優里,0.0,0.715
渡邉,0.875,0.704
ホセ,0.98,0.779
拓人,1.0,0.728
アンデルソン,1.0,0.722
由希,0.0,0.734
幸枝,0.0,0.751
リョウ,1.0,0.703
夕貴,0.125,0.703
菜々,0.0,0.733
拓矢,1.0,0.713
今井,0.75,0.72
のりこ,0.0,0.732
パトリシア,0.083,0.737
義雄,1.0,0.777
智彦,1.0,0.712
桃花,0.0,0.766
石原,0.5,0.702
龍二,1.0,0.726
琴美,0.0,0.711
伸治,1.0,0.726
きよみ,0.25,0.701
早紀,0.091,0.731
洋司,1.0,0.711
英司,1.0,0.719
麻子,0.316,0.752
健次,1.0,0.73
正雄,1.0,0.782
ゆうすけ,1.0,0.71
藤田,0.667,0.71
福田,0.806,0.766
大智,1.0,0.758
智行,1.0,0.744
厚子,0.0,0.709
健志,0.952,0.755
彰彦,1.0,0.709
知樹,1.0,0.709
ちあき,0.077,0.734
千明,0.545,0.729
悠希,0.7,0.723
憲司,1.0,0.698
かずき,0.8,0.74
和枝,0.0,0.716
実咲,0.091,0.722
真之介,1.0,0.716
健作,1.0,0.716
政彦,1.0,0.707
大河,1.0,0.732
昭子,0.0,0.715
